image,height,width,type,original_dataset,scenario,airport,runway,time_to_landing,weather,night,time,slant_distance,along_track_distance,height_above_runway,lateral_path_angle,vertical_path_angle,yaw,pitch,roll,watermark_height,x_A,y_A,x_B,y_B,x_C,y_C,x_D,y_D,image_name,detected
images/0CLSYZPFbTg_103.png,1080,1920,real,REAL_Nominal,,LTAI,36C,22,,,,,,,,,,,,,924,423,939,423,898,503,959,505,0CLSYZPFbTg_103.png,True
images/0CLSYZPFbTg_105.png,1080,1920,real,REAL_Nominal,,LTAI,36C,18,,,,,,,,,,,,,965,393,981,393,934,486,1014,486,0CLSYZPFbTg_105.png,True
images/0CLSYZPFbTg_107.png,1080,1920,real,REAL_Nominal,,LTAI,36C,14,,,,,,,,,,,,,937,368,954,369,884,479,999,481,0CLSYZPFbTg_107.png,True
images/0CLSYZPFbTg_108.png,1080,1920,real,REAL_Nominal,,LTAI,36C,12,,,,,,,,,,,,,991,385,972,386,903,510,1050,513,0CLSYZPFbTg_108.png,True
images/0CLSYZPFbTg_109.png,1080,1920,real,REAL_Nominal,,LTAI,36C,10,,,,,,,,,,,,,911,380,932,380,1031,534,820,541,0CLSYZPFbTg_109.png,True
images/0CLSYZPFbTg_110.png,1080,1920,real,REAL_Nominal,,LTAI,36C,8,,,,,,,,,,,,,915,353,935,354,1105,565,747,572,0CLSYZPFbTg_110.png,True
images/0CLSYZPFbTg_111.png,1080,1920,real,REAL_Nominal,,LTAI,36C,6,,,,,,,,,,,,,977,387,1004,387,1650,915,437,942,0CLSYZPFbTg_111.png,True
images/0fiHJrxfJPE_082.png,2160,3840,real,REAL_Nominal,,KSFO,28R,8,rain,,,,,,,,,,,,1820,931,1787,932,1957,1102,1669,1111,0fiHJrxfJPE_082.png,True
images/0P-HJgLkZLk_061.png,1080,1920,real,REAL_Nominal,,ESSA,26,76,,,,,,,,,,,,,1299,255,1310,255,1293,292,1312,292,0P-HJgLkZLk_061.png,True
images/0P-HJgLkZLk_069.png,1080,1920,real,REAL_Nominal,,ESSA,26,60,,,,,,,,,,,,,1242,321,1256,321,1237,362,1260,362,0P-HJgLkZLk_069.png,True
images/0P-HJgLkZLk_077.png,1080,1920,real,REAL_Nominal,,ESSA,26,44,,,,,,,,,,,,,770,307,788,307,763,359,795,360,0P-HJgLkZLk_077.png,True
images/0P-HJgLkZLk_082.png,1080,1920,real,REAL_Nominal,,ESSA,26,34,,,,,,,,,,,,,757,277,775,277,745,340,787,341,0P-HJgLkZLk_082.png,True
images/0P-HJgLkZLk_085.png,1080,1920,real,REAL_Nominal,,ESSA,26,28,,,,,,,,,,,,,769,285,789,285,753,356,803,356,0P-HJgLkZLk_085.png,True
images/0P-HJgLkZLk_088.png,1080,1920,real,REAL_Nominal,,ESSA,26,22,,,,,,,,,,,,,1095,302,1119,303,1068,382,1134,385,0P-HJgLkZLk_088.png,True
images/0P-HJgLkZLk_091.png,1080,1920,real,REAL_Nominal,,ESSA,26,16,,,,,,,,,,,,,1106,270,1131,271,1061,369,1158,373,0P-HJgLkZLk_091.png,True
images/0P-HJgLkZLk_093.png,1080,1920,real,REAL_Nominal,,ESSA,26,12,,,,,,,,,,,,,767,274,794,274,711,399,852,401,0P-HJgLkZLk_093.png,True
images/0P-HJgLkZLk_095.png,1080,1920,real,REAL_Nominal,,ESSA,26,8,,,,,,,,,,,,,1102,250,1132,251,984,423,1235,427,0P-HJgLkZLk_095.png,True
images/0P-HJgLkZLk_096.png,1080,1920,real,REAL_Nominal,,ESSA,26,6,,,,,,,,,,,,,1103,264,1136,265,909,502,1321,506,0P-HJgLkZLk_096.png,True
images/0P-HJgLkZLk_097.png,1080,1920,real,REAL_Nominal,,ESSA,26,4,,,,,,,,,,,,,1092,245,1130,245,1729,787,532,789,0P-HJgLkZLk_097.png,True
images/17MUtbOfdNQ_043.png,2160,3840,real,REAL_Nominal,,LICJ,7,124,,,,,,,,,,,,,1994,941,2003,941,1994,970,2007,970,17MUtbOfdNQ_043.png,False
images/17MUtbOfdNQ_061.png,2160,3840,real,REAL_Nominal,,LICJ,7,88,,,,,,,,,,,,,1743,932,1754,932,1756,973,1740,974,17MUtbOfdNQ_061.png,False
images/17MUtbOfdNQ_073.png,2160,3840,real,REAL_Nominal,,LICJ,7,64,,,,,,,,,,,,,2073,876,2085,876,2058,930,2080,932,17MUtbOfdNQ_073.png,False
images/17MUtbOfdNQ_082.png,2160,3840,real,REAL_Nominal,,LICJ,7,46,,,,,,,,,,,,,2125,891,2141,891,2105,954,2139,956,17MUtbOfdNQ_082.png,True
images/17MUtbOfdNQ_088.png,2160,3840,real,REAL_Nominal,,LICJ,7,34,,,,,,,,,,,,,1741,865,1759,865,1785,936,1740,938,17MUtbOfdNQ_088.png,True
images/17MUtbOfdNQ_092.png,2160,3840,real,REAL_Nominal,,LICJ,7,26,,,,,,,,,,,,,1744,884,1722,885,1776,967,1714,970,17MUtbOfdNQ_092.png,True
images/17MUtbOfdNQ_095.png,2160,3840,real,REAL_Nominal,,LICJ,7,20,,,,,,,,,,,,,1742,844,1717,845,1781,934,1697,937,17MUtbOfdNQ_095.png,True
images/17MUtbOfdNQ_098.png,2160,3840,real,REAL_Nominal,,LICJ,7,14,,,,,,,,,,,,,1759,845,1728,846,1811,950,1691,953,17MUtbOfdNQ_098.png,True
images/17MUtbOfdNQ_100.png,2160,3840,real,REAL_Nominal,,LICJ,7,10,,,,,,,,,,,,,1769,842,1731,843,1848,959,1672,965,17MUtbOfdNQ_100.png,True
images/17MUtbOfdNQ_101.png,2160,3840,real,REAL_Nominal,,LICJ,7,8,,,,,,,,,,,,,1770,849,1730,850,1876,980,1650,988,17MUtbOfdNQ_101.png,True
images/17MUtbOfdNQ_102.png,2160,3840,real,REAL_Nominal,,LICJ,7,6,,,,,,,,,,,,,1776,857,1733,858,1925,1017,1611,1028,17MUtbOfdNQ_102.png,True
images/17MUtbOfdNQ_103.png,2160,3840,real,REAL_Nominal,,LICJ,7,4,,,,,,,,,,,,,2056,851,2105,853,1803,1081,2326,1095,17MUtbOfdNQ_103.png,True
images/17MUtbOfdNQ_104.png,2160,3840,real,REAL_Nominal,,LICJ,7,2,,,,,,,,,,,,,1790,847,1728,849,2555,1358,1035,1426,17MUtbOfdNQ_104.png,True
images/3cHEZgOrbJY_062.png,1080,1920,real,REAL_Nominal,,EPWA,33,66,,,,,,,,,,,,,1786,336,1794,337,1782,365,1797,365,3cHEZgOrbJY_062.png,True
images/3cHEZgOrbJY_072.png,1080,1920,real,REAL_Nominal,,EPWA,33,46,,,,,,,,,,,,,139,321,150,321,133,357,154,357,3cHEZgOrbJY_072.png,True
images/3cHEZgOrbJY_076.png,1080,1920,real,REAL_Nominal,,EPWA,33,38,,,,,,,,,,,,,1763,316,1774,316,1755,356,1782,358,3cHEZgOrbJY_076.png,False
images/3cHEZgOrbJY_078.png,1080,1920,real,REAL_Nominal,,EPWA,33,34,,,,,,,,,,,,,1762,273,1774,274,1754,319,1785,321,3cHEZgOrbJY_078.png,True
images/3cHEZgOrbJY_080.png,1080,1920,real,REAL_Nominal,,EPWA,33,30,,,,,,,,,,,,,1764,305,1777,306,1754,353,1790,355,3cHEZgOrbJY_080.png,True
images/3cHEZgOrbJY_083.png,1080,1920,real,REAL_Nominal,,EPWA,33,24,,,,,,,,,,,,,1759,298,1774,298,1746,354,1796,356,3cHEZgOrbJY_083.png,True
images/3cHEZgOrbJY_085.png,1080,1920,real,REAL_Nominal,,EPWA,33,20,,,,,,,,,,,,,147,297,163,297,118,362,182,362,3cHEZgOrbJY_085.png,True
images/3cHEZgOrbJY_086.png,1080,1920,real,REAL_Nominal,,EPWA,33,18,,,,,,,,,,,,,147,299,163,299,189,367,114,371,3cHEZgOrbJY_086.png,True
images/3cHEZgOrbJY_087.png,1080,1920,real,REAL_Nominal,,EPWA,33,16,,,,,,,,,,,,,144,314,160,314,191,392,101,393,3cHEZgOrbJY_087.png,True
images/3cHEZgOrbJY_088.png,1080,1920,real,REAL_Nominal,,EPWA,33,14,,,,,,,,,,,,,145,297,160,297,206,385,92,388,3cHEZgOrbJY_088.png,True
images/3cHEZgOrbJY_089.png,1080,1920,real,REAL_Nominal,,EPWA,33,12,,,,,,,,,,,,,1760,294,1777,295,1688,393,1842,405,3cHEZgOrbJY_089.png,True
images/3cHEZgOrbJY_090.png,1080,1920,real,REAL_Nominal,,EPWA,33,10,,,,,,,,,,,,,1758,273,1773,274,1649,405,1882,411,3cHEZgOrbJY_090.png,True
images/3eAoz0P3qto_052.png,2160,3840,real,REAL_Nominal,,EYVI,1,112,,,,,,,,,,,,,1512,814,1522,814,1509,844,1522,845,3eAoz0P3qto_052.png,False
images/3eAoz0P3qto_059.png,2160,3840,real,REAL_Nominal,,EYVI,1,98,,,,,,,,,,,,,2341,809,2330,810,2330,843,2346,843,3eAoz0P3qto_059.png,False
images/3eAoz0P3qto_067.png,2160,3840,real,REAL_Nominal,,EYVI,1,82,,,,,,,,,,,,,2331,830,2343,830,2350,868,2331,869,3eAoz0P3qto_067.png,True
images/3eAoz0P3qto_075.png,2160,3840,real,REAL_Nominal,,EYVI,1,66,,,,,,,,,,,,,1480,838,1495,838,1474,880,1496,880,3eAoz0P3qto_075.png,True
images/3eAoz0P3qto_079.png,2160,3840,real,REAL_Nominal,,EYVI,1,58,,,,,,,,,,,,,1459,833,1475,833,1452,881,1477,881,3eAoz0P3qto_079.png,True
images/3eAoz0P3qto_082.png,2160,3840,real,REAL_Nominal,,EYVI,1,52,,,,,,,,,,,,,1447,837,1464,838,1438,887,1466,888,3eAoz0P3qto_082.png,True
images/3eAoz0P3qto_087.png,2160,3840,real,REAL_Nominal,,EYVI,1,42,,,,,,,,,,,,,1437,816,1455,817,1424,871,1460,872,3eAoz0P3qto_087.png,True
images/3eAoz0P3qto_089.png,2160,3840,real,REAL_Nominal,,EYVI,1,38,,,,,,,,,,,,,2409,821,2388,822,2424,880,2384,881,3eAoz0P3qto_089.png,True
images/3eAoz0P3qto_092.png,2160,3840,real,REAL_Nominal,,EYVI,1,32,,,,,,,,,,,,,1429,834,1451,835,1410,900,1457,902,3eAoz0P3qto_092.png,True
images/3eAoz0P3qto_095.png,2160,3840,real,REAL_Nominal,,EYVI,1,26,,,,,,,,,,,,,2406,819,2382,820,2433,896,2371,899,3eAoz0P3qto_095.png,True
images/3eAoz0P3qto_098.png,2160,3840,real,REAL_Nominal,,EYVI,1,20,,,,,,,,,,,,,1436,796,1463,796,1404,890,1490,891,3eAoz0P3qto_098.png,True
images/3eAoz0P3qto_100.png,2160,3840,real,REAL_Nominal,,EYVI,1,16,,,,,,,,,,,,,2386,805,2414,805,2462,914,2346,916,3eAoz0P3qto_100.png,True
images/3eAoz0P3qto_101.png,2160,3840,real,REAL_Nominal,,EYVI,1,14,,,,,,,,,,,,,1426,809,1451,810,1359,933,1499,936,3eAoz0P3qto_101.png,True
images/3eAoz0P3qto_102.png,2160,3840,real,REAL_Nominal,,EYVI,1,12,,,,,,,,,,,,,1432,800,1465,802,1346,941,1523,948,3eAoz0P3qto_102.png,True
images/3eAoz0P3qto_103.png,2160,3840,real,REAL_Nominal,,EYVI,1,10,,,,,,,,,,,,,2406,796,2371,798,2523,964,2282,972,3eAoz0P3qto_103.png,True
images/3eAoz0P3qto_104.png,2160,3840,real,REAL_Nominal,,EYVI,1,8,,,,,,,,,,,,,1435,786,1469,788,1247,1013,1627,1023,3eAoz0P3qto_104.png,True
images/3eAoz0P3qto_105.png,2160,3840,real,REAL_Nominal,,EYVI,1,6,,,,,,,,,,,,,1436,772,1466,774,976,1201,1859,1212,3eAoz0P3qto_105.png,True
images/3gyD-xaX7SM_004.png,1080,1920,real,REAL_Nominal,,EBBR,25L,24,,,,,,,,,,,,,981,521,998,521,951,605,1021,606,3gyD-xaX7SM_004.png,True
images/3gyD-xaX7SM_007.png,1080,1920,real,REAL_Nominal,,EBBR,25L,18,,,,,,,,,,,,,982,541,999,541,937,646,1038,646,3gyD-xaX7SM_007.png,True
images/3gyD-xaX7SM_009.png,1080,1920,real,REAL_Nominal,,EBBR,25L,14,,,,,,,,,,,,,975,542,994,542,899,672,1051,674,3gyD-xaX7SM_009.png,True
images/3gyD-xaX7SM_010.png,1080,1920,real,REAL_Nominal,,EBBR,25L,12,,,,,,,,,,,,,976,536,997,537,864,685,1069,693,3gyD-xaX7SM_010.png,True
images/3gyD-xaX7SM_011.png,1080,1920,real,REAL_Nominal,,EBBR,25L,10,,,,,,,,,,,,,940,540,921,541,1099,741,789,744,3gyD-xaX7SM_011.png,True
images/3gyD-xaX7SM_012.png,1080,1920,real,REAL_Nominal,,EBBR,25L,8,,,,,,,,,,,,,910,556,934,556,604,907,1243,908,3gyD-xaX7SM_012.png,True
images/3s1eHvzkxxI_054.png,1080,1920,real,REAL_Nominal,,KMIA,9,94,,,,,,,,,,,,,840,516,848,516,838,549,852,549,3s1eHvzkxxI_054.png,False
images/3s1eHvzkxxI_073.png,1080,1920,real,REAL_Nominal,,KMIA,9,56,,,,,,,,,,,,,1055,491,1068,491,1049,537,1073,537,3s1eHvzkxxI_073.png,False
images/3s1eHvzkxxI_080.png,1080,1920,real,REAL_Nominal,,KMIA,9,42,,,,,,,,,,,,,851,481,863,481,844,533,871,533,3s1eHvzkxxI_080.png,True
images/3s1eHvzkxxI_085.png,1080,1920,real,REAL_Nominal,,KMIA,9,32,,,,,,,,,,,,,838,488,854,488,828,549,864,549,3s1eHvzkxxI_085.png,True
images/3s1eHvzkxxI_089.png,1080,1920,real,REAL_Nominal,,KMIA,9,24,,,,,,,,,,,,,861,466,876,466,843,538,894,538,3s1eHvzkxxI_089.png,True
images/3s1eHvzkxxI_092.png,1080,1920,real,REAL_Nominal,,KMIA,9,18,,,,,,,,,,,,,1065,472,1050,473,1025,555,1096,555,3s1eHvzkxxI_092.png,True
images/3s1eHvzkxxI_094.png,1080,1920,real,REAL_Nominal,,KMIA,9,14,,,,,,,,,,,,,1049,443,1065,443,1007,539,1106,540,3s1eHvzkxxI_094.png,True
images/3s1eHvzkxxI_095.png,1080,1920,real,REAL_Nominal,,KMIA,9,12,,,,,,,,,,,,,1057,465,1073,465,1000,572,1124,572,3s1eHvzkxxI_095.png,True
images/3s1eHvzkxxI_096.png,1080,1920,real,REAL_Nominal,,KMIA,9,10,,,,,,,,,,,,,846,469,861,469,769,596,939,597,3s1eHvzkxxI_096.png,True
images/3s1eHvzkxxI_097.png,1080,1920,real,REAL_Nominal,,KMIA,9,8,,,,,,,,,,,,,845,454,863,454,719,614,974,621,3s1eHvzkxxI_097.png,True
images/3s1eHvzkxxI_098.png,1080,1920,real,REAL_Nominal,,KMIA,9,6,,,,,,,,,,,,,1051,460,1075,460,1345,738,806,743,3s1eHvzkxxI_098.png,True
images/3VrwyzGRCCc_032.png,2160,3840,real,REAL_Nominal,,LGKR,34,70,,,,,,,,,,,,,2364,1012,2375,1013,2319,1047,2334,1047,3VrwyzGRCCc_032.png,False
images/3VrwyzGRCCc_043.png,2160,3840,real,REAL_Nominal,,LGKR,34,48,,,,,,,,,,,,,2300,966,2312,966,2304,1015,2282,1016,3VrwyzGRCCc_043.png,False
images/3VrwyzGRCCc_047.png,2160,3840,real,REAL_Nominal,,LGKR,34,40,,,,,,,,,,,,,1560,955,1575,955,1552,1010,1578,1011,3VrwyzGRCCc_047.png,False
images/3VrwyzGRCCc_050.png,2160,3840,real,REAL_Nominal,,LGKR,34,34,,,,,,,,,,,,,1651,972,1667,973,1633,1031,1666,1034,3VrwyzGRCCc_050.png,True
images/3VrwyzGRCCc_052.png,2160,3840,real,REAL_Nominal,,LGKR,34,30,,,,,,,,,,,,,1729,973,1746,973,1715,1039,1752,1039,3VrwyzGRCCc_052.png,True
images/3VrwyzGRCCc_054.png,2160,3840,real,REAL_Nominal,,LGKR,34,26,,,,,,,,,,,,,1712,952,1731,952,1701,1025,1747,1025,3VrwyzGRCCc_054.png,True
images/3VrwyzGRCCc_057.png,2160,3840,real,REAL_Nominal,,LGKR,34,20,,,,,,,,,,,,,1673,942,1693,942,1654,1022,1720,1024,3VrwyzGRCCc_057.png,True
images/3VrwyzGRCCc_059.png,2160,3840,real,REAL_Nominal,,LGKR,34,16,,,,,,,,,,,,,1662,949,1685,949,1645,1042,1731,1042,3VrwyzGRCCc_059.png,True
images/3VrwyzGRCCc_060.png,2160,3840,real,REAL_Nominal,,LGKR,34,14,,,,,,,,,,,,,1680,960,1654,961,1742,1059,1639,1063,3VrwyzGRCCc_060.png,True
images/3VrwyzGRCCc_061.png,2160,3840,real,REAL_Nominal,,LGKR,34,12,,,,,,,,,,,,,1641,954,1615,955,1718,1062,1590,1069,3VrwyzGRCCc_061.png,True
images/3VrwyzGRCCc_062.png,2160,3840,real,REAL_Nominal,,LGKR,34,10,,,,,,,,,,,,,2204,963,2230,963,2119,1090,2291,1090,3VrwyzGRCCc_062.png,True
images/3VrwyzGRCCc_063.png,2160,3840,real,REAL_Nominal,,LGKR,34,8,,,,,,,,,,,,,1629,918,1659,920,1505,1074,1763,1086,3VrwyzGRCCc_063.png,True
images/3VrwyzGRCCc_064.png,2160,3840,real,REAL_Nominal,,LGKR,34,6,,,,,,,,,,,,,1627,897,1659,899,1341,1117,1863,1150,3VrwyzGRCCc_064.png,True
images/4bYcfALapdE_049.png,2160,3840,real,REAL_Nominal,,KJFK,4R,32,,,,,,,,,,,,,920,890,895,895,951,960,893,970,4bYcfALapdE_049.png,True
images/4bYcfALapdE_053.png,2160,3840,real,REAL_Nominal,,KJFK,4R,24,,,,,,,,,,,,,950,874,920,878,990,961,910,971,4bYcfALapdE_053.png,True
images/4bYcfALapdE_056.png,2160,3840,real,REAL_Nominal,,KJFK,4R,18,,,,,,,,,,,,,926,862,895,868,991,964,877,981,4bYcfALapdE_056.png,True
images/4bYcfALapdE_058.png,2160,3840,real,REAL_Nominal,,KJFK,4R,14,,,,,,,,,,,,,928,862,893,868,1017,979,862,1004,4bYcfALapdE_058.png,True
images/4bYcfALapdE_059.png,2160,3840,real,REAL_Nominal,,KJFK,4R,12,,,,,,,,,,,,,2914,861,2952,867,2808,995,3001,1021,4bYcfALapdE_059.png,True
images/4bYcfALapdE_060.png,2160,3840,real,REAL_Nominal,,KJFK,4R,10,,,,,,,,,,,,,933,838,894,843,1067,995,818,1026,4bYcfALapdE_060.png,True
images/4bYcfALapdE_061.png,2160,3840,real,REAL_Nominal,,KJFK,4R,8,,,,,,,,,,,,,2879,803,2918,809,2684,998,3039,1045,4bYcfALapdE_061.png,True
images/4bYcfALapdE_062.png,2160,3840,real,REAL_Nominal,,KJFK,4R,6,,,,,,,,,,,,,2849,806,2893,810,2521,1093,3138,1157,4bYcfALapdE_062.png,True
images/4PpjjbbhDbo_021.png,720,1280,real,REAL_Nominal,,SOCA,8,16,,,,,,,,,,,,,574,323,577,323,562,354,585,354,4PpjjbbhDbo_021.png,False
images/4PpjjbbhDbo_023.png,720,1280,real,REAL_Nominal,,SOCA,8,12,,,,,,,,,,,,,576,301,579,301,553,347,599,347,4PpjjbbhDbo_023.png,True
images/4PpjjbbhDbo_024.png,720,1280,real,REAL_Nominal,,SOCA,8,10,,,,,,,,,,,,,572,326,576,326,535,389,611,390,4PpjjbbhDbo_024.png,True
images/4PpjjbbhDbo_025.png,720,1280,real,REAL_Nominal,,SOCA,8,8,,,,,,,,,,,,,704,308,710,308,771,404,640,405,4PpjjbbhDbo_025.png,True
images/4s4zQFW4g7o_053.png,720,1280,real,REAL_Nominal,,LTAI,36C,40,,,,,,,,,,,,,740,300,746,300,736,326,748,326,4s4zQFW4g7o_053.png,True
images/4s4zQFW4g7o_056.png,720,1280,real,REAL_Nominal,,LTAI,36C,34,,,,,,,,,,,,,519,298,524,298,518,327,532,327,4s4zQFW4g7o_056.png,True
images/4s4zQFW4g7o_059.png,720,1280,real,REAL_Nominal,,LTAI,36C,28,,,,,,,,,,,,,514,299,522,299,509,332,528,332,4s4zQFW4g7o_059.png,True
images/4s4zQFW4g7o_062.png,720,1280,real,REAL_Nominal,,LTAI,36C,22,,,,,,,,,,,,,747,304,754,304,737,341,762,341,4s4zQFW4g7o_062.png,True
images/4s4zQFW4g7o_064.png,720,1280,real,REAL_Nominal,,LTAI,36C,18,,,,,,,,,,,,,758,307,764,307,739,350,773,351,4s4zQFW4g7o_064.png,True
images/4s4zQFW4g7o_066.png,720,1280,real,REAL_Nominal,,LTAI,36C,14,,,,,,,,,,,,,762,282,769,282,735,336,783,336,4s4zQFW4g7o_066.png,True
images/4s4zQFW4g7o_067.png,720,1280,real,REAL_Nominal,,LTAI,36C,12,,,,,,,,,,,,,516,286,524,286,495,347,555,347,4s4zQFW4g7o_067.png,True
images/4s4zQFW4g7o_068.png,720,1280,real,REAL_Nominal,,LTAI,36C,10,,,,,,,,,,,,,750,289,758,289,791,363,709,364,4s4zQFW4g7o_068.png,True
images/4s4zQFW4g7o_069.png,720,1280,real,REAL_Nominal,,LTAI,36C,8,,,,,,,,,,,,,745,281,754,281,812,379,682,380,4s4zQFW4g7o_069.png,True
images/4s4zQFW4g7o_070.png,720,1280,real,REAL_Nominal,,LTAI,36C,6,,,,,,,,,,,,,737,296,749,296,904,464,611,482,4s4zQFW4g7o_070.png,True
images/4yx-1LC3Q4o_082.png,1080,1920,real,REAL_Nominal,,CYVR,26R,82,,,,,,,,,,,,,1128,444,1133,444,1127,459,1134,459,4yx-1LC3Q4o_082.png,False
